Shipment_ID,Order_ID,Agent_ID,Route_ID,Warehouse_ID,Pickup_Date,Delivery_Date,Delivery_Status,Delay_Hours,Delivery_Feedback,Delay_Reason
S00225,O0045,A0029,R004,W004,2024-12-05 23:59:07,2024-12-08 19:19:48,Delivered,0.1,Positive,Technical Issue
S00226,O0220,A0011,R020,W003,2024-12-08 03:37:44,2024-12-10 14:41:55,Delivered,39.7,Positive,Traffic
S00227,O0292,A0023,R018,W005,2024-09-23 09:14:37,2024-09-26 01:55:38,Delivered,1.8,Positive,Traffic
S00228,O0150,A0019,R019,W005,2025-03-10 21:18:52,2025-03-11 20:05:51,Delivered,3.6,Positive,Traffic
S00229,O0211,A0004,R009,W003,2025-02-26 08:13:29,2025-02-26 23:06:26,Delivered,0.4,Positive,Weather
S00230,O0165,A0016,R013,W008,2025-07-19 09:04:01,2025-07-21 07:33:49,Delivered,1,Positive,Technical Issue
S00231,O0213,A0025,R015,W002,2024-10-30 21:55:00,2024-10-31 08:40:27,Delivered,0,Positive,None
S00232,O0143,A0045,R012,W008,2024-09-23 01:20:49,2024-09-25 16:53:39,Delivered,5.5,Positive,Traffic
S00233,O0048,A0047,R015,W006,2025-04-30 10:16:42,2025-05-01 02:57:26,Delivered,0.5,Neutral,Traffic
S00234,O0220,A0014,R016,W005,2024-12-09 06:25:11,2024-12-10 12:52:12,Delivered,1.5,Positive,Traffic
S00235,O0296,A0009,R019,W008,2024-12-30 17:09:40,2024-12-31 09:50:46,Delivered,2.2,Positive,Weather
S00236,O0236,A0002,R004,W003,2024-07-01 19:29:46,2024-07-04 14:27:50,Delivered,1.2,Neutral,Traffic
S00237,O0220,A0013,R005,W005,2024-12-08 06:04:16,2024-12-09 11:08:29,Delivered,2.6,Positive,Traffic
S00238,O0185,A0017,R003,W006,2024-03-23 05:19:31,2024-03-24 15:14:50,Delivered,5.8,Positive,Traffic
S00239,O0203,A0041,R010,W004,2025-04-14 03:04:17,2025-04-14 15:26:31,Delivered,0.6,Negative,Technical Issue
S00240,O0049,A0001,R007,W008,2025-03-17 17:43:51,2025-03-19 15:11:00,Delivered,0,Positive,None
S00241,O0266,A0044,R015,W001,2024-06-08 03:36:51,2024-06-09 10:08:53,Delivered,17.3,Positive,Traffic
S00242,O0217,A0045,R005,W008,2025-06-03 18:03:46,2025-06-05 05:08:25,Delivered,0.4,Positive,Traffic
S00243,O0053,A0007,R011,W006,2024-10-14 21:50:10,2024-10-15 20:20:56,Delivered,1.2,Positive,Weather
S00244,O0069,A0042,R005,W002,2024-11-08 13:09:20,2024-11-09 22:45:55,Delivered,0.8,Positive,Traffic
S00245,O0085,A0029,R012,W004,2024-02-15 18:32:18,2024-02-21 06:29:33,Delivered,88.4,Positive,Weather
S00246,O0227,A0014,R003,W002,2024-06-08 07:12:29,2024-06-09 15:25:22,Delivered,0.5,Positive,Technical Issue
S00247,O0197,A0023,R014,W006,2024-10-04 06:00:06,2024-10-05 18:06:09,Delivered,5.7,Positive,Weather
S00248,O0044,A0016,R018,W010,2024-03-06 06:27:25,2024-03-08 09:01:23,Delivered,3.1,Neutral,Traffic
S00249,O0014,A0043,R010,W004,2024-08-31 01:46:29,2024-08-31 17:27:47,Delivered,0,Positive,Traffic
S00250,O0201,A0019,R002,W004,2024-04-20 19:54:17,2024-04-21 14:44:55,In Transit,0.4,Positive,Weather
S00251,O0256,A0041,R020,W002,2025-07-28 13:45:23,2025-08-05 10:41:02,Delivered,165.7,Positive,Traffic
S00252,O0163,A0009,R013,W010,2024-09-10 00:27:10,2024-09-11 11:34:36,Delivered,0.5,Neutral,Weather
S00253,O0089,A0049,R016,W002,2024-12-07 12:22:30,2024-12-09 00:19:03,Delivered,0.9,Positive,Weather
S00254,O0135,A0014,R002,W001,2025-04-21 01:03:41,2025-04-21 22:54:26,Delivered,0.3,Positive,Weather
S00255,O0257,A0050,R014,W007,2024-10-03 10:10:56,2024-10-04 18:41:40,Delivered,2.1,Positive,Technical Issue
S00256,O0275,A0035,R020,W003,2024-10-12 08:18:41,2024-10-13 06:43:25,In Transit,0.3,Positive,Traffic
S00257,O0262,A0014,R005,W009,2025-02-24 18:28:25,2025-02-25 22:54:03,Delivered,1.2,Positive,Weather
S00258,O0034,A0020,R014,W004,2025-06-27 08:55:18,2025-06-28 18:50:21,Delivered,3.4,Positive,Weather
S00259,O0223,A0008,R015,W010,2025-05-03 15:53:00,2025-05-04 06:27:37,Delivered,0,Positive,None
S00260,O0090,A0008,R001,W003,2024-04-25 14:20:27,2024-04-27 11:37:52,Delivered,0.6,Negative,Traffic
S00261,O0178,A0034,R017,W005,2025-08-01 00:36:05,2025-08-03 16:34:42,Delivered,0.2,Positive,Traffic
S00262,O0138,A0047,R004,W001,2024-03-27 08:45:16,2024-03-30 11:03:47,Delivered,1,Positive,Traffic
S00263,O0033,A0017,R019,W002,2024-07-25 22:08:15,2024-07-26 21:29:06,In Transit,8.8,Positive,Technical Issue
S00264,O0029,A0032,R019,W003,2024-04-30 01:16:39,2024-04-30 15:59:00,Delivered,1.7,Positive,Traffic
S00265,O0053,A0037,R004,W004,2024-10-18 11:22:09,2024-10-21 08:12:12,Delivered,0.4,Negative,Traffic
S00266,O0007,A0016,R002,W008,2024-06-15 05:19:49,2024-06-21 03:31:09,In Transit,121.8,Positive,Traffic
S00267,O0092,A0003,R018,W007,2024-08-22 19:49:58,2024-08-25 12:43:48,In Transit,6.6,Positive,Weather
S00268,O0164,A0018,R003,W010,2025-07-22 23:40:38,2025-07-24 01:39:19,Delivered,0.4,Neutral,Traffic
S00269,O0027,A0012,R008,W009,2024-03-07 04:36:22,2024-03-08 01:47:13,Delivered,0.4,Positive,Traffic
S00270,O0239,A0019,R010,W006,2024-01-11 13:04:35,2024-01-12 05:19:16,In Transit,0.8,Positive,Traffic
S00271,O0189,A0013,R010,W010,2024-04-30 18:29:56,2024-05-01 07:40:12,Delivered,1.4,Positive,Weather
S00272,O0189,A0038,R016,W004,2024-05-03 15:43:34,2024-05-07 22:01:21,Delivered,60.4,Positive,Weather
S00273,O0126,A0010,R001,W007,2024-03-04 16:00:49,2024-03-05 23:30:10,Delivered,2,Positive,Technical Issue
S00274,O0005,A0022,R001,W007,2024-07-28 10:51:27,2024-07-29 17:31:15,Delivered,1.7,Positive,Technical Issue
S00275,O0272,A0016,R014,W008,2024-12-07 14:03:06,2024-12-09 23:15:59,Delivered,16.4,Positive,Traffic
S00276,O0048,A0003,R008,W009,2025-05-03 04:22:57,2025-05-04 05:03:41,Delivered,0.4,Positive,Weather
S00277,O0044,A0038,R004,W009,2024-03-03 07:32:08,2024-03-07 14:42:29,Delivered,36.5,Negative,Traffic
S00278,O0039,A0038,R019,W001,2025-09-16 20:09:53,2025-09-17 12:29:31,Delivered,2.5,Neutral,Technical Issue
S00279,O0134,A0021,R013,W006,2024-01-30 19:32:26,2024-02-01 15:01:55,Delivered,3.1,Positive,Weather
S00280,O0039,A0013,R005,W010,2025-09-13 21:03:50,2025-09-15 00:10:57,Delivered,0.7,Positive,Weather
S00281,O0231,A0030,R011,W007,2024-10-22 03:47:41,2024-10-22 19:44:34,Delivered,0.8,Positive,Weather
S00282,O0107,A0029,R010,W008,2024-11-27 21:17:43,2024-11-28 08:39:38,Delivered,0.8,Negative,Traffic
S00283,O0156,A0046,R020,W001,2025-04-22 08:40:55,2025-04-23 03:16:38,In Transit,1.8,Neutral,Weather
S00284,O0128,A0023,R013,W009,2024-01-07 23:41:14,2024-01-09 19:41:25,Returned,2.7,Positive,Technical Issue
S00285,O0090,A0002,R013,W008,2024-04-25 09:57:25,2024-04-27 02:07:42,Delivered,1.5,Positive,Traffic
S00286,O0237,A0007,R005,W002,2024-09-03 20:21:53,2024-09-06 00:43:24,Delivered,25.1,Positive,Traffic
S00287,O0114,A0009,R007,W007,2024-09-09 04:19:16,2024-09-13 20:17:23,Delivered,79.7,Positive,Traffic
S00288,O0044,A0038,R019,W005,2024-03-01 09:07:44,2024-03-05 16:10:43,Delivered,84.5,Positive,Traffic
S00289,O0102,A0042,R015,W003,2024-11-04 06:32:05,2024-11-04 21:06:59,Delivered,0,Neutral,None
S00290,O0237,A0004,R006,W010,2024-09-07 08:30:03,2024-09-08 10:41:23,Returned,0.6,Positive,Weather
S00291,O0196,A0044,R014,W003,2024-08-25 04:45:35,2024-09-04 10:49:57,Delivered,212.8,Positive,Technical Issue
S00292,O0141,A0018,R015,W003,2024-06-06 07:02:38,2024-06-06 21:32:29,Delivered,2.3,Positive,Weather
S00293,O0126,A0042,R010,W008,2024-03-08 03:34:49,2024-03-08 16:10:34,Delivered,0.4,Positive,Weather
S00294,O0045,A0018,R013,W003,2024-12-07 09:50:30,2024-12-08 23:52:32,Delivered,0,Positive,Traffic
S00295,O0270,A0016,R018,W001,2024-10-12 19:59:07,2024-10-15 11:20:43,Delivered,0,Positive,None
S00296,O0249,A0023,R019,W009,2025-03-29 15:21:18,2025-03-30 11:29:31,Delivered,0.9,Positive,Traffic
S00297,O0014,A0021,R020,W004,2024-08-26 13:54:20,2024-08-27 07:23:11,In Transit,0.3,Positive,Weather
S00298,O0242,A0034,R012,W010,2025-01-29 23:24:17,2025-02-01 10:59:40,Delivered,1.5,Positive,Traffic
S00299,O0124,A0018,R018,W001,2025-01-29 02:31:25,2025-02-02 10:27:56,In Transit,59.2,Positive,Traffic
S00300,O0199,A0023,R006,W003,2025-08-24 13:26:34,2025-08-25 15:12:33,Returned,1,Positive,Traffic
S00301,O0184,A0038,R001,W006,2024-03-29 02:14:18,2024-03-30 18:15:59,Delivered,3.3,Positive,Technical Issue
S00302,O0097,A0032,R018,W005,2024-12-21 05:16:36,2024-12-23 15:09:42,Delivered,3.6,Positive,Traffic
S00303,O0029,A0015,R020,W004,2024-04-28 14:43:03,2024-04-29 11:50:46,Delivered,1,Positive,Technical Issue
S00304,O0170,A0040,R007,W003,2024-07-19 17:14:49,2024-07-27 12:35:08,Delivered,151.7,Positive,Traffic
S00305,O0166,A0004,R001,W003,2024-11-13 14:18:37,2024-11-16 02:39:03,Delivered,15,Neutral,Traffic
S00306,O0270,A0024,R003,W006,2024-10-14 21:18:49,2024-10-15 23:22:50,Delivered,0.9,Positive,Traffic
S00307,O0173,A0020,R011,W003,2024-05-11 15:07:47,2024-05-12 23:28:11,Delivered,14.7,Neutral,Traffic
S00308,O0250,A0042,R011,W003,2024-05-19 23:44:32,2024-05-20 18:56:19,Delivered,2.6,Neutral,Traffic
S00309,O0183,A0015,R019,W003,2024-04-14 18:44:10,2024-04-16 01:05:34,Delivered,13.8,Positive,Weather
S00310,O0151,A0009,R006,W001,2025-01-11 19:59:49,2025-01-13 03:15:58,Delivered,4,Positive,Traffic
S00311,O0291,A0003,R006,W010,2024-04-10 09:38:20,2024-04-11 20:00:44,Delivered,3.2,Positive,Traffic
S00312,O0290,A0007,R016,W003,2024-12-15 19:20:39,2024-12-17 12:33:10,Delivered,0.5,Negative,Weather
S00313,O0164,A0011,R003,W006,2025-07-23 19:44:41,2025-07-25 06:03:58,Delivered,3,Positive,Weather
S00314,O0128,A0045,R003,W006,2024-01-09 16:44:25,2024-01-11 15:59:14,Delivered,14.4,Positive,Technical Issue
S00315,O0025,A0025,R015,W007,2025-06-07 09:02:32,2025-06-08 02:22:57,Delivered,2.4,Positive,Traffic
S00316,O0194,A0023,R018,W007,2024-03-24 15:13:52,2024-03-28 18:18:58,In Transit,45,Positive,Weather
S00317,O0296,A0042,R008,W003,2024-12-31 18:04:56,2025-01-03 21:45:59,Delivered,57,Positive,Weather
S00318,O0018,A0019,R001,W006,2025-01-25 13:38:28,2025-01-27 10:16:54,Delivered,3.3,Positive,Weather
S00319,O0088,A0025,R006,W002,2024-07-04 18:24:03,2024-07-05 17:30:44,Delivered,0.2,Positive,Traffic
S00320,O0248,A0046,R001,W007,2024-04-15 04:51:08,2024-04-17 00:01:39,Delivered,2,Neutral,Weather
S00321,O0223,A0011,R002,W002,2025-05-01 21:21:49,2025-05-11 18:48:59,Delivered,209.8,Positive,Traffic
S00322,O0210,A0045,R018,W009,2024-06-13 21:33:49,2024-06-15 23:56:38,Delivered,0.1,Negative,Weather
S00323,O0050,A0004,R013,W010,2024-03-01 17:39:58,2024-03-03 13:24:38,Delivered,0.4,Neutral,Traffic
S00324,O0185,A0001,R014,W002,2024-03-20 04:27:28,2024-03-21 06:49:53,Delivered,0.7,Positive,Traffic
S00325,O0103,A0007,R001,W004,2025-02-18 10:00:00,2025-02-19 17:35:05,Delivered,1.2,Positive,Traffic
S00326,O0042,A0031,R004,W005,2024-03-10 05:27:20,2024-03-12 09:00:42,Delivered,0.7,Positive,Weather
S00327,O0136,A0006,R018,W007,2024-12-02 21:12:52,2024-12-06 01:24:20,In Transit,17.9,Positive,Traffic
S00328,O0190,A0012,R015,W001,2024-10-01 21:11:20,2024-10-02 10:05:32,Delivered,0,Positive,Technical Issue
S00329,O0116,A0018,R019,W001,2024-02-22 23:48:55,2024-02-23 16:10:06,Delivered,0.3,Positive,Weather
S00330,O0177,A0035,R014,W010,2024-03-18 17:09:52,2024-03-20 10:36:52,Delivered,4.4,Positive,Traffic
S00331,O0199,A0034,R014,W009,2025-08-28 09:09:28,2025-08-29 15:56:03,Delivered,0,Neutral,Traffic
S00332,O0121,A0031,R010,W002,2024-09-04 11:15:43,2024-09-05 02:03:00,Delivered,0.2,Positive,Traffic
S00333,O0265,A0037,R020,W003,2025-01-15 12:01:00,2025-01-16 13:28:59,Delivered,1.3,Positive,Traffic
S00334,O0086,A0014,R007,W003,2024-04-16 04:17:29,2024-04-17 16:12:14,Delivered,5.4,Negative,Traffic
S00335,O0223,A0013,R005,W010,2025-05-02 01:31:18,2025-05-07 04:43:40,Delivered,94.8,Positive,Weather
S00336,O0035,A0006,R013,W009,2024-01-24 00:10:20,2024-01-25 22:31:32,Delivered,0.8,Positive,Traffic
S00337,O0142,A0034,R015,W001,2024-05-03 19:13:05,2024-05-04 07:34:58,Delivered,1,Neutral,Weather
S00338,O0215,A0008,R014,W003,2024-05-30 10:35:41,2024-05-31 17:55:54,Delivered,0.7,Positive,Weather
S00339,O0052,A0007,R019,W002,2025-07-06 11:50:06,2025-07-09 04:26:38,Delivered,44.7,Positive,Traffic
S00340,O0211,A0017,R013,W008,2025-02-26 01:33:54,2025-02-27 08:34:54,In Transit,0,Neutral,None
S00341,O0089,A0018,R013,W003,2024-12-11 13:09:01,2024-12-13 12:43:36,Delivered,1,Positive,Traffic
S00342,O0206,A0003,R013,W006,2025-06-19 21:49:18,2025-06-21 09:19:42,Delivered,2.7,Neutral,Weather
S00343,O0244,A0018,R012,W001,2024-10-31 11:49:57,2024-11-02 20:11:50,Delivered,0.3,Positive,Weather
S00344,O0252,A0045,R004,W004,2025-07-08 00:15:37,2025-07-18 22:58:28,Delivered,211.6,Positive,Traffic
S00345,O0227,A0050,R011,W005,2024-06-12 17:53:54,2024-06-14 01:28:12,Delivered,12.2,Neutral,Traffic
S00346,O0046,A0013,R015,W004,2025-05-16 01:26:19,2025-05-19 00:07:08,Delivered,58.9,Positive,Weather
S00347,O0192,A0004,R017,W003,2024-05-08 04:23:32,2024-05-12 17:23:56,Delivered,59.6,Positive,Weather
S00348,O0207,A0009,R017,W010,2025-03-28 08:12:16,2025-03-30 07:41:56,Delivered,2.9,Negative,Traffic
S00349,O0103,A0004,R008,W001,2025-02-19 12:36:18,2025-02-27 08:57:11,Delivered,171.6,Positive,Traffic
S00350,O0102,A0018,R012,W008,2024-11-08 08:54:57,2024-11-10 10:43:18,Delivered,0,Positive,None
S00351,O0064,A0044,R001,W004,2024-03-13 02:21:34,2024-03-14 10:03:41,Delivered,1.7,Positive,Weather
S00352,O0091,A0031,R019,W009,2024-07-26 05:17:33,2024-07-27 05:29:59,Delivered,4.5,Positive,Technical Issue
S00353,O0133,A0048,R003,W005,2025-06-30 15:03:21,2025-07-01 23:50:45,Delivered,1,Positive,Traffic
S00354,O0293,A0050,R007,W004,2024-04-08 11:18:13,2024-04-10 01:30:51,Delivered,1.2,Positive,Weather
S00355,O0138,A0042,R014,W009,2024-03-24 17:26:50,2024-03-26 09:45:57,Delivered,0.7,Neutral,Weather
S00356,O0068,A0042,R006,W010,2024-11-17 16:50:14,2024-11-18 21:04:54,Delivered,0.9,Positive,Technical Issue
S00357,O0157,A0046,R009,W007,2024-02-03 06:41:35,2024-02-04 05:08:39,Returned,1,Positive,Traffic
S00358,O0112,A0030,R010,W009,2025-05-06 12:42:55,2025-05-07 00:40:38,Delivered,1.5,Positive,Traffic
S00359,O0004,A0033,R012,W009,2024-09-01 16:01:03,2024-09-03 14:24:12,Delivered,0.4,Negative,Traffic
S00360,O0153,A0044,R004,W008,2025-07-06 05:50:49,2025-07-16 11:50:24,Delivered,195.3,Negative,Traffic
S00361,O0167,A0018,R009,W005,2024-07-17 16:56:50,2024-07-18 10:16:52,Delivered,3.1,Positive,Technical Issue
S00362,O0124,A0004,R020,W007,2025-02-01 17:11:56,2025-02-02 17:55:47,Delivered,2.6,Positive,Traffic
S00363,O0014,A0042,R016,W005,2024-08-28 18:55:00,2024-08-30 11:17:29,Returned,2.4,Positive,Traffic
S00364,O0019,A0038,R019,W004,2024-11-30 10:07:56,2024-12-01 06:08:22,Delivered,0,Positive,None
S00365,O0244,A0043,R012,W009,2024-10-31 06:59:15,2024-11-04 07:43:54,Delivered,50,Positive,Weather
S00366,O0286,A0012,R010,W002,2025-08-26 00:37:23,2025-08-29 06:53:06,Delivered,61.3,Neutral,Traffic
S00367,O0287,A0049,R006,W006,2025-07-02 13:59:16,2025-07-03 20:56:39,Delivered,0.2,Positive,Traffic
S00368,O0115,A0048,R010,W007,2025-03-13 21:30:00,2025-03-14 11:35:28,Delivered,1.7,Positive,Traffic
S00369,O0151,A0030,R004,W008,2025-01-06 22:14:18,2025-01-09 12:06:20,Delivered,1.5,Positive,Traffic
S00370,O0037,A0031,R007,W009,2025-05-12 16:24:57,2025-05-13 20:10:38,Delivered,0,Positive,None
S00371,O0212,A0004,R005,W003,2024-05-02 12:03:30,2024-05-03 13:24:25,Delivered,2.8,Positive,Weather
S00372,O0292,A0030,R005,W006,2024-09-23 20:11:39,2024-09-27 01:47:38,Delivered,54.6,Positive,Weather
S00373,O0250,A0022,R006,W006,2024-05-19 05:23:36,2024-05-20 15:14:01,Delivered,0.8,Positive,Weather
S00374,O0141,A0014,R006,W010,2024-06-07 02:30:35,2024-06-08 16:30:02,Delivered,13.3,Neutral,Traffic
S00375,O0046,A0009,R020,W007,2025-05-17 23:26:03,2025-05-18 20:58:46,Delivered,0.4,Positive,Technical Issue
S00376,O0245,A0025,R001,W001,2025-08-06 09:02:45,2025-08-10 07:33:01,Delivered,57.6,Positive,Weather
S00377,O0008,A0021,R017,W004,2024-08-08 12:24:18,2024-08-11 05:21:15,Delivered,0.9,Positive,Technical Issue
S00378,O0128,A0015,R012,W005,2024-01-08 16:32:47,2024-01-10 23:53:08,Delivered,1.1,Positive,Traffic
S00379,O0157,A0011,R003,W001,2024-02-02 04:35:08,2024-02-03 06:30:38,Delivered,0.5,Positive,Weather
S00380,O0267,A0039,R017,W006,2025-02-24 15:03:22,2025-02-27 10:21:16,Delivered,1.9,Positive,Technical Issue
S00381,O0251,A0023,R007,W003,2025-03-04 07:05:27,2025-03-06 05:16:52,Delivered,2.6,Positive,Traffic
S00382,O0068,A0014,R001,W010,2024-11-21 14:50:34,2024-11-23 03:41:02,Delivered,0,Neutral,None
S00383,O0020,A0025,R009,W009,2024-11-23 16:22:29,2024-11-24 14:22:28,In Transit,1.4,Positive,Traffic
S00384,O0025,A0043,R004,W001,2025-06-05 22:11:02,2025-06-08 08:43:50,In Transit,0.6,Positive,Weather
S00385,O0195,A0008,R018,W005,2024-11-30 03:33:19,2024-12-02 20:52:19,Delivered,2.6,Positive,Weather
S00386,O0005,A0020,R014,W002,2024-07-28 18:36:18,2024-07-30 10:40:08,In Transit,1.3,Negative,Technical Issue
S00387,O0071,A0027,R004,W009,2025-07-10 06:15:00,2025-07-12 15:35:00,In Transit,0.7,Positive,Technical Issue
S00388,O0059,A0007,R016,W004,2025-07-28 00:59:29,2025-07-29 21:44:36,Delivered,14.5,Negative,Weather
S00389,O0268,A0013,R012,W007,2025-04-01 22:01:47,2025-04-04 11:13:36,Delivered,1.7,Positive,Traffic
S00390,O0255,A0014,R016,W006,2024-03-19 05:13:27,2024-03-21 01:59:37,Delivered,0,Positive,None
S00391,O0046,A0008,R019,W008,2025-05-13 11:04:47,2025-05-17 01:02:42,Delivered,68.6,Positive,Traffic
S00392,O0039,A0047,R004,W005,2025-09-18 23:49:19,2025-09-22 01:59:58,Delivered,11.3,Positive,Technical Issue
S00393,O0152,A0017,R015,W001,2024-06-30 01:21:24,2024-07-03 06:15:50,Delivered,63.9,Positive,Traffic
S00394,O0149,A0024,R011,W007,2025-01-19 06:43:49,2025-01-20 04:46:49,Delivered,2.2,Neutral,Traffic
S00395,O0024,A0001,R005,W003,2025-08-23 03:33:31,2025-08-26 00:13:45,Delivered,45.1,Positive,Weather
S00396,O0138,A0047,R003,W006,2024-03-26 23:46:53,2024-03-28 05:15:53,Delivered,3.1,Positive,Technical Issue
S00397,O0205,A0030,R009,W007,2025-07-15 10:13:56,2025-07-18 16:47:14,Delivered,57.2,Positive,Traffic
S00398,O0086,A0008,R005,W001,2024-04-16 16:39:10,2024-04-18 02:50:07,Delivered,0.2,Negative,Traffic
S00399,O0248,A0037,R015,W003,2024-04-14 12:40:16,2024-04-17 04:16:52,Delivered,52.9,Positive,Traffic
S00400,O0015,A0044,R005,W008,2025-01-11 10:02:01,2025-01-12 22:47:48,Delivered,14.6,Neutral,Traffic
S00401,O0226,A0003,R003,W005,2025-04-17 11:59:58,2025-04-18 21:22:33,Delivered,1.2,Positive,Traffic
S00402,O0269,A0050,R019,W010,2025-01-13 08:08:25,2025-01-14 01:38:25,Delivered,3.6,Positive,Traffic
S00403,O0049,A0028,R008,W008,2025-03-20 12:15:08,2025-03-21 13:22:38,Delivered,0,Positive,Traffic
S00404,O0286,A0040,R002,W001,2025-08-28 01:40:42,2025-08-29 04:53:08,Delivered,0.5,Neutral,Traffic
S00405,O0241,A0032,R006,W002,2025-03-13 20:46:46,2025-03-14 19:07:54,Delivered,0.8,Positive,Technical Issue
S00406,O0143,A0004,R017,W004,2024-09-24 12:51:11,2024-09-26 13:04:29,Delivered,0.4,Neutral,Weather
S00407,O0121,A0006,R015,W008,2024-09-06 02:18:45,2024-09-06 16:43:56,Delivered,0.1,Positive,Technical Issue
S00408,O0256,A0029,R011,W002,2025-07-28 13:06:20,2025-07-29 05:38:44,Delivered,0.9,Positive,Traffic
S00409,O0207,A0027,R002,W009,2025-04-01 01:53:06,2025-04-03 04:08:17,Delivered,25.4,Positive,Traffic
S00410,O0156,A0033,R018,W004,2025-04-26 13:21:27,2025-05-06 10:06:51,Delivered,183.4,Neutral,Technical Issue
S00411,O0187,A0004,R008,W008,2024-10-25 06:41:16,2024-10-28 01:48:33,Delivered,44.8,Positive,Traffic
S00412,O0243,A0046,R012,W008,2025-08-08 16:37:00,2025-08-11 14:28:33,Delivered,24.4,Neutral,Weather
S00413,O0114,A0001,R011,W006,2024-09-11 16:00:12,2024-09-12 16:45:27,Delivered,4.2,Positive,Technical Issue
S00414,O0192,A0045,R004,W001,2024-05-09 10:59:35,2024-05-11 10:38:32,Delivered,1.7,Negative,Technical Issue
S00415,O0210,A0007,R009,W010,2024-06-12 18:08:31,2024-06-13 11:24:58,Delivered,1.1,Positive,Weather
S00416,O0202,A0014,R015,W004,2025-05-27 22:47:50,2025-05-28 15:19:12,Delivered,2.3,Positive,Traffic
S00417,O0213,A0003,R019,W002,2024-10-29 11:10:48,2024-10-30 07:29:43,Delivered,3.4,Positive,Technical Issue
S00418,O0259,A0009,R016,W001,2024-08-31 18:56:03,2024-09-02 10:11:07,Delivered,6,Negative,Traffic
S00419,O0222,A0038,R016,W009,2024-08-29 12:01:13,2024-08-30 20:40:05,Delivered,1.5,Negative,Traffic
S00420,O0066,A0007,R013,W010,2025-09-30 14:42:09,2025-10-02 03:06:27,Delivered,1.9,Positive,Technical Issue
S00421,O0197,A0027,R020,W004,2024-10-05 11:27:58,2024-10-14 05:58:00,In Transit,187.9,Positive,Technical Issue
S00422,O0151,A0029,R005,W003,2025-01-09 21:04:41,2025-01-11 11:58:01,Delivered,14.7,Positive,Traffic
S00423,O0263,A0020,R018,W006,2024-02-14 07:14:12,2024-02-16 18:16:21,In Transit,0.7,Negative,Weather
S00424,O0103,A0014,R020,W005,2025-02-21 23:20:10,2025-03-04 09:13:25,Delivered,228,Positive,Traffic
S00425,O0068,A0046,R006,W009,2024-11-22 07:52:41,2024-11-23 08:16:07,Delivered,0.9,Neutral,Traffic
S00426,O0060,A0049,R012,W009,2024-08-13 23:20:54,2024-08-16 05:02:04,Delivered,3.4,Positive,Traffic
S00427,O0214,A0044,R018,W005,2025-05-12 17:39:27,2025-05-15 11:07:40,Delivered,1.1,Positive,Weather
S00428,O0013,A0025,R005,W001,2024-03-17 03:43:45,2024-03-18 03:43:17,Delivered,1.5,Positive,Traffic
S00429,O0083,A0019,R009,W003,2025-01-14 07:57:14,2025-01-15 07:52:01,Delivered,1.1,Positive,Traffic
S00430,O0278,A0003,R012,W008,2024-06-28 08:05:36,2024-07-01 20:05:50,Delivered,22.6,Positive,Traffic
S00431,O0288,A0015,R018,W007,2025-03-17 22:12:46,2025-03-22 03:04:43,Delivered,61.8,Positive,Traffic
S00432,O0148,A0045,R002,W007,2024-02-16 03:48:28,2024-02-22 22:36:32,In Transit,138.4,Negative,Weather
S00433,O0161,A0036,R002,W001,2025-07-27 17:54:02,2025-07-28 17:48:38,Delivered,2.9,Positive,Weather
S00434,O0227,A0015,R012,W010,2024-06-12 00:41:34,2024-06-13 21:33:07,Delivered,0.9,Negative,Traffic
S00435,O0100,A0019,R015,W003,2025-07-10 09:53:05,2025-07-11 04:24:12,Delivered,2.9,Neutral,Weather
S00436,O0089,A0048,R017,W002,2024-12-09 16:28:10,2024-12-12 06:59:09,Delivered,0.7,Neutral,Traffic
S00437,O0285,A0017,R005,W003,2024-06-04 11:40:34,2024-06-05 11:47:23,Delivered,2.5,Positive,Technical Issue
S00438,O0239,A0046,R005,W001,2024-01-12 04:41:08,2024-01-13 13:21:18,Delivered,0.4,Positive,Traffic
S00439,O0155,A0032,R019,W009,2024-03-31 12:48:31,2024-04-01 19:55:04,In Transit,12,Positive,Technical Issue
S00440,O0163,A0034,R008,W003,2024-09-10 13:37:51,2024-09-14 12:28:44,Delivered,69.3,Positive,Traffic
S00441,O0082,A0027,R018,W009,2024-04-27 06:05:13,2024-04-29 10:42:39,Delivered,1.5,Positive,Weather
S00442,O0110,A0043,R011,W006,2024-04-07 19:14:23,2024-04-08 10:37:34,Delivered,0.9,Positive,Traffic
S00443,O0272,A0031,R018,W001,2024-12-07 21:27:56,2024-12-10 14:28:14,Delivered,0.7,Positive,Traffic
S00444,O0125,A0003,R011,W007,2025-02-22 02:05:46,2025-02-23 03:25:32,Delivered,3.5,Negative,Traffic
S00445,O0145,A0002,R017,W006,2024-02-01 05:52:48,2024-02-03 01:54:52,Delivered,2.7,Positive,Traffic
S00446,O0023,A0019,R007,W006,2025-08-01 22:37:17,2025-08-07 20:28:19,Delivered,96.9,Positive,Traffic
S00447,O0086,A0050,R018,W009,2024-04-16 11:42:10,2024-04-18 15:25:56,Delivered,1.9,Positive,Technical Issue
S00448,O0110,A0044,R014,W002,2024-04-07 04:07:48,2024-04-11 00:26:43,Delivered,62.4,Positive,Technical Issue
S00449,O0223,A0042,R003,W003,2025-04-30 06:35:59,2025-05-04 07:17:33,Delivered,62.8,Neutral,Weather
